============== Resource: 纽约州 ==============
Label: 紐約州,		Frequency: 824
Label: 德克薩斯州,		Frequency: 21
Label: 皇后區,		Frequency: 20
Label: 德州,		Frequency: 20
Label: 底特律,		Frequency: 20
Label: 美国总统,		Frequency: 20
Label: 2001年,		Frequency: 20
Label: 法国,		Frequency: 19
Label: 特拉华州,		Frequency: 19
Label: 英文,		Frequency: 19
Label: 安大略湖,		Frequency: 19
Label: 新墨西哥州,		Frequency: 18
Label: 西班牙,		Frequency: 18
Label: 新罕布夏州,		Frequency: 18
Label: 克里斯蒂安·亨利·弗里德里希·彼得斯,		Frequency: 18
Label: 曼哈顿,		Frequency: 18
Label: 密苏里州,		Frequency: 18
Label: 日本,		Frequency: 18
Label: 洛杉磯,		Frequency: 18
Label: 2004年,		Frequency: 18
Label: 羅徹斯特,		Frequency: 17
Label: 天文学家,		Frequency: 17
Label: 主带,		Frequency: 17
Label: 小行星,		Frequency: 17
Label: 阿肯色州,		Frequency: 17
Label: 康奈尔大学,		Frequency: 17
Label: 2003年,		Frequency: 17
Label: 墨西哥,		Frequency: 17
Label: 奥奈达,		Frequency: 17
Label: 英語,		Frequency: 16
Label: 明尼苏达州,		Frequency: 16
Label: 內布拉斯加州,		Frequency: 16
Label: 俄勒冈州,		Frequency: 16
Label: 耶鲁大学,		Frequency: 16
Label: 民主黨,		Frequency: 16
Label: 路易斯安那州,		Frequency: 16
Label: 纳苏县,		Frequency: 16
Label: 亞利桑那州,		Frequency: 16
Label: 伊利湖,		Frequency: 15
Label: 香港,		Frequency: 15
Label: 1932年,		Frequency: 15
Label: 1923年,		Frequency: 15
Label: 华盛顿州,		Frequency: 15
Label: 2006年,		Frequency: 15
Label: 田納西州,		Frequency: 14
Label: 波士頓,		Frequency: 14
Label: 1997年,		Frequency: 14
Label: 北美邦聯,		Frequency: 14
Label: 尚普蘭湖,		Frequency: 14
Label: 西弗吉尼亚州,		Frequency: 14
Label: 華盛頓特區,		Frequency: 14
Label: 費城,		Frequency: 14
Label: 美国参议院议员,		Frequency: 14
Label: 堪萨斯州,		Frequency: 14
Label: 美国国务卿,		Frequency: 14
Label: 洛杉矶,		Frequency: 14
Label: 奧克拉荷馬州,		Frequency: 14
Label: 哈佛大学,		Frequency: 14
Label: 阿拉斯加州,		Frequency: 14
Label: 2005年,		Frequency: 14
Label: 阿拉巴馬州,		Frequency: 14
Label: 2010年,		Frequency: 14
Label: 博士,		Frequency: 13
Label: 费城,		Frequency: 13
Label: 北卡羅來納州,		Frequency: 13
Label: 北卡罗来纳州,		Frequency: 13
Label: 德國,		Frequency: 13
Label: 爱尔兰,		Frequency: 13
Label: 波多黎各,		Frequency: 13
Label: 巴爾的摩,		Frequency: 13
Label: 參議員,		Frequency: 13
Label: 堪薩斯州,		Frequency: 13
Label: 长岛,		Frequency: 13
Label: 布法罗,		Frequency: 13
Label: 北卡羅萊納州,		Frequency: 13
Label: 伊利诺州,		Frequency: 13
Label: 2008年,		Frequency: 13
Label: 印第安纳州,		Frequency: 13
Label: 1960年,		Frequency: 13
Label: 2011年,		Frequency: 13
Label: 英语,		Frequency: 12
Label: 威斯康星州,		Frequency: 12
Label: 魁北克省,		Frequency: 12
Label: 约翰·亚当斯,		Frequency: 12
Label: 納蘇郡,		Frequency: 12
Label: 1993年,		Frequency: 12
Label: 鳳凰城,		Frequency: 12
Label: 科羅拉多州,		Frequency: 12
Label: 托马斯·杰斐逊,		Frequency: 12
Label: 1933年,		Frequency: 12
Label: 舊金山,		Frequency: 12
Label: 東河,		Frequency: 12
Label: 五大湖,		Frequency: 12
Label: 夏威夷州,		Frequency: 12
Label: 愛爾蘭,		Frequency: 12
Label: 1820年,		Frequency: 12
Label: 罗德岛州,		Frequency: 12
Label: 羅德島州,		Frequency: 12
Label: 1956年,		Frequency: 12
Label: 2009年,		Frequency: 12
Label: 2007年,		Frequency: 12
Label: 斯坦福,		Frequency: 11
Label: 美國獨立戰爭,		Frequency: 11
Label: 阿龙·伯尔,		Frequency: 11
Label: 巴西,		Frequency: 11
Label: 奧爾巴尼,		Frequency: 11
Label: 西維吉尼亞州,		Frequency: 11
Label: 德拉瓦州,		Frequency: 11
Label: 北卡罗莱纳州,		Frequency: 11
Label: 奥尔巴尼,		Frequency: 11
Label: 白人,		Frequency: 11
Label: 美国人口调查局,		Frequency: 11
Label: 哈得遜河,		Frequency: 11
Label: 巴黎,		Frequency: 11
Label: 明尼阿波利斯,		Frequency: 11
Label: 州长,		Frequency: 11
Label: 聯邦眾議員,		Frequency: 11
Label: 新英格蘭,		Frequency: 11
Label: 荷兰,		Frequency: 11
Label: 1930年,		Frequency: 11
Label: 罗切斯特,		Frequency: 11
Label: 台灣,		Frequency: 11
Label: 魁北克,		Frequency: 11
Label: 佐治亚州,		Frequency: 11
Label: 輻鰭魚綱,		Frequency: 11
Label: 克邁利卡公園,		Frequency: 11
Label: 上海,		Frequency: 11
Label: 1968年,		Frequency: 11
Label: 種,		Frequency: 11
Label: NBA,		Frequency: 11
Label: 1830年,		Frequency: 11
Label: 1890年,		Frequency: 10
Label: 艾奥瓦州,		Frequency: 10
Label: 瑞士,		Frequency: 10
Label: 1999年,		Frequency: 10
Label: 内布拉斯加州,		Frequency: 10
Label: 耶穌基督後期聖徒教會,		Frequency: 10
Label: 1986年,		Frequency: 10
Label: 1989年,		Frequency: 10
Label: 荷蘭,		Frequency: 10
Label: 1934年,		Frequency: 10
Label: 洋基體育場,		Frequency: 10
Label: 歐洲,		Frequency: 10
Label: 共和党,		Frequency: 10
Label: 愛荷華州,		Frequency: 10
Label: 印第安納州,		Frequency: 10
Label: 蒙大拿州,		Frequency: 10
Label: 共和黨,		Frequency: 10
Label: 意大利,		Frequency: 10
Label: 1865年,		Frequency: 9
Label: 华盛顿特区,		Frequency: 9
Label: 波士顿,		Frequency: 9
Label: 1994年,		Frequency: 9
Label: 参议员,		Frequency: 9
Label: 锡拉丘兹,		Frequency: 9
Label: 硕士,		Frequency: 9
Label: 乔治·华盛顿,		Frequency: 9
Label: 州長,		Frequency: 9
Label: 辛辛那提,		Frequency: 9
Label: 南卡罗来纳州,		Frequency: 9
Label: 美元,		Frequency: 9
Label: 1935年,		Frequency: 9
Label: 1937年,		Frequency: 9
Label: 1927年,		Frequency: 9
Label: 亞特蘭大,		Frequency: 9
Label: 罗得岛州,		Frequency: 9
Label: 伊利諾伊州,		Frequency: 9
Label: 希腊神话,		Frequency: 9
Label: 康乃迪克州,		Frequency: 9
Label: 密歇根大学,		Frequency: 9
Label: 1967年,		Frequency: 9
Label: 科罗拉多州,		Frequency: 9
Label: 布鲁克林,		Frequency: 9
Label: 康乃爾大學,		Frequency: 9
Label: 美國總統,		Frequency: 9
Label: 義大利,		Frequency: 9
Label: 作家,		Frequency: 9
Label: 1949年,		Frequency: 9
Label: 美洲,		Frequency: 9
Label: 美國職棒大聯盟,		Frequency: 8
Label: 中國,		Frequency: 8
Label: 行政區,		Frequency: 8
Label: 紐約都會區,		Frequency: 8
Label: 哥倫比亞大學,		Frequency: 8
Label: 哥伦比亚大学,		Frequency: 8
Label: 1791年,		Frequency: 8
Label: 纽约州州长,		Frequency: 8
Label: 乔治·克林顿,		Frequency: 8
Label: 羅馬天主教,		Frequency: 8
Label: 1889年,		Frequency: 8
Label: 1992年,		Frequency: 8
Label: 普林斯顿大学,		Frequency: 8
Label: 威斯特徹斯特郡,		Frequency: 8
Label: 1878年,		Frequency: 8
Label: 1879年,		Frequency: 8
Label: 1988年,		Frequency: 8
Label: 雪城,		Frequency: 8
Label: 西雅圖,		Frequency: 8
Label: 移民,		Frequency: 8
Label: 賓州,		Frequency: 8
Label: 堪薩斯城,		Frequency: 8
Label: 1921年,		Frequency: 8
Label: 1808年,		Frequency: 8
Label: 1804年,		Frequency: 8
Label: 爱荷华州,		Frequency: 8
Label: 大陸軍,		Frequency: 8
Label: 俄克拉何马州,		Frequency: 8
Label: 1824年,		Frequency: 8
Label: 克里夫蘭,		Frequency: 8
Label: 伊利運河,		Frequency: 8
Label: 哈佛大學,		Frequency: 8
Label: 1965年,		Frequency: 8
Label: 1950年,		Frequency: 8
Label: 南卡羅來納州,		Frequency: 8
Label: 1838年,		Frequency: 8
Label: 1948年,		Frequency: 8
Label: 斯塔福德,		Frequency: 8
Label: 約瑟·斯密,		Frequency: 8
Label: 迪威特·克林頓,		Frequency: 8
Label: 耶魯大學,		Frequency: 7
Label: 挪威,		Frequency: 7
Label: 1861年,		Frequency: 7
Label: 1854年,		Frequency: 7
Label: 亚历山大·汉密尔顿,		Frequency: 7
Label: 華盛頓,		Frequency: 7
Label: 爱达荷州,		Frequency: 7
Label: IBM,		Frequency: 7
Label: 1995年,		Frequency: 7
Label: 1987年,		Frequency: 7
Label: 编剧,		Frequency: 7
Label: 亚利桑那州,		Frequency: 7
Label: 主席,		Frequency: 7
Label: 北達科他州,		Frequency: 7
Label: 同性婚姻,		Frequency: 7
Label: 篮球,		Frequency: 7
Label: 麻省理工学院,		Frequency: 7
Label: 1936年,		Frequency: 7
Label: 纽约州立大学,		Frequency: 7
Label: 1924年,		Frequency: 7
Label: 怀俄明州,		Frequency: 7
Label: 内华达州,		Frequency: 7
Label: 總統,		Frequency: 7
Label: 民主党,		Frequency: 7
Label: 1913年,		Frequency: 7
Label: 布魯克林區,		Frequency: 7
Label: 斯坦福大学,		Frequency: 7
Label: 蘇格蘭,		Frequency: 7
Label: 歌手,		Frequency: 7
Label: 白原市,		Frequency: 7
Label: 1978年,		Frequency: 7
Label: 1683年,		Frequency: 7
Label: 阿根廷,		Frequency: 7
Label: 1964年,		Frequency: 7
Label: 乔治亚州,		Frequency: 7
Label: 犹太人,		Frequency: 7
Label: 1973年,		Frequency: 7
Label: 蘇福克郡,		Frequency: 7
Label: 伦敦,		Frequency: 7
Label: 中西部,		Frequency: 7
Label: 新英格兰,		Frequency: 7
Label: 尼亚加拉瀑布城,		Frequency: 7
Label: 亞洲,		Frequency: 7
Label: 得克萨斯州,		Frequency: 7
Label: 心理学,		Frequency: 6
Label: 南卡罗莱纳州,		Frequency: 6
Label: 中華民國,		Frequency: 6
Label: 1876年,		Frequency: 6
Label: Staten Island, New York,		Frequency: 6
Label: 澳大利亚,		Frequency: 6
Label: 城市,		Frequency: 6
Label: 1792年,		Frequency: 6
Label: 卡茲奇山,		Frequency: 6
Label: 地鐵,		Frequency: 6
Label: 1891年,		Frequency: 6
Label: Chase體育場,		Frequency: 6
Label: 1892年,		Frequency: 6
Label: 懸索橋,		Frequency: 6
Label: 首席执行官,		Frequency: 6
Label: 教區,		Frequency: 6
Label: 1980年代,		Frequency: 6
Label: 尼亞加拉河,		Frequency: 6
Label: 法學,		Frequency: 6
Label: 学士,		Frequency: 6
Label: 印度,		Frequency: 6
Label: 1787年,		Frequency: 6
Label: 紐華克,		Frequency: 6
Label: 聖地牙哥,		Frequency: 6
Label: 1996年,		Frequency: 6
Label: 1886年,		Frequency: 6
Label: 美国财政部长,		Frequency: 6
Label: 蘇聯,		Frequency: 6
Label: 南非,		Frequency: 6
Label: Cohoes, New York,		Frequency: 6
Label: 瑞典,		Frequency: 6
Label: 美国职棒大联盟,		Frequency: 6
Label: 愛達荷州,		Frequency: 6
Label: 普拉茨堡,		Frequency: 6
Label: 尼亞加拉瀑布城,		Frequency: 6
Label: 董事长,		Frequency: 6
Label: 南卡羅萊納州,		Frequency: 6
Label: 州,		Frequency: 6
Label: 賓夕凡尼亞州,		Frequency: 6
Label: 俄勒岡州,		Frequency: 6
Label: 審計署,		Frequency: 6
Label: 奧本尼,		Frequency: 6
Label: 19世紀,		Frequency: 6
Label: 鱸形目,		Frequency: 6
Label: 1939年,		Frequency: 6
Label: 1938年,		Frequency: 6
Label: 罗彻斯特,		Frequency: 6
Label: 蒙特利尔,		Frequency: 6
Label: 教育家,		Frequency: 6
Label: 电影,		Frequency: 6
Label: Brooklyn, New York,		Frequency: 6
Label: 多倫多,		Frequency: 6
Label: 紐約總教區,		Frequency: 6
Label: 南達科他州,		Frequency: 6
Label: 夏洛特,		Frequency: 6
Label: 美國原住民,		Frequency: 6
Label: 俄亥俄,		Frequency: 6
Label: 1917年,		Frequency: 6
Label: 圣劳伦斯河,		Frequency: 6
Label: 欧洲,		Frequency: 6
Label: 雪城大學,		Frequency: 6
Label: 葡萄牙,		Frequency: 6
Label: 紐約上州,		Frequency: 6
Label: 克利夫兰,		Frequency: 6
Label: 1979年,		Frequency: 6
Label: 犹他州,		Frequency: 6
Label: 內華達州,		Frequency: 6
Label: 達拉斯,		Frequency: 6
Label: 1823年,		Frequency: 6
Label: 比利時,		Frequency: 6
Label: 1963年,		Frequency: 6
Label: 口徑,		Frequency: 6
Label: 柏克萊加州大學,		Frequency: 6
Label: 美国新闻与世界报道,		Frequency: 6
Label: 眾議院,		Frequency: 6
Label: 南港,		Frequency: 6
Label: 麻塞諸塞州,		Frequency: 6
Label: 1954年,		Frequency: 6
Label: 1959年,		Frequency: 6
Label: 2002年,		Frequency: 6
Label: 法语,		Frequency: 6
Label: 州議員,		Frequency: 6
Label: 宾厄姆顿,		Frequency: 6
Label: 1941年,		Frequency: 6
Label: Rochester, New York,		Frequency: 6
Label: 沃特敦市,		Frequency: 6
Label: 1835年,		Frequency: 6
Label: 哈里斯堡,		Frequency: 6
Label: 1946年,		Frequency: 6
Label: 天主教,		Frequency: 6
Label: 美北长老会,		Frequency: 6
Label: 2012年,		Frequency: 6
Label: 布朗大学,		Frequency: 6
Label: 苏福克郡,		Frequency: 6
Label: 创始人,		Frequency: 6
Label: 1874年,		Frequency: 5
Label: 麻萨诸塞州,		Frequency: 5
Label: I-80,		Frequency: 5
Label: 鱸亞目,		Frequency: 5
Label: 波兰,		Frequency: 5
Label: I-90,		Frequency: 5
Label: 奧克蘭 (加利福尼亞州),		Frequency: 5
Label: 賓漢頓,		Frequency: 5
Label: 明尼亞波利斯,		Frequency: 5
Label: 律师,		Frequency: 5
Label: 美國陸軍,		Frequency: 5
Label: 殖民地,		Frequency: 5
Label: 議員,		Frequency: 5
Label: 丹佛,		Frequency: 5
Label: 普萊西德湖,		Frequency: 5
Label: 墨西哥城,		Frequency: 5
Label: 新罕布什尔,		Frequency: 5
Label: 非洲,		Frequency: 5
Label: 1894年,		Frequency: 5
Label: 法官,		Frequency: 5
Label: 1788年,		Frequency: 5
Label: 多伦多,		Frequency: 5
Label: 特拉華州,		Frequency: 5
Label: 1885年,		Frequency: 5
Label: 新泽西,		Frequency: 5
Label: 賓夕法尼亞,		Frequency: 5
Label: 新罕布什爾州,		Frequency: 5
Label: 演員,		Frequency: 5
Label: 联邦党,		Frequency: 5
Label: 美國東北部,		Frequency: 5
Label: 康乃尔大学,		Frequency: 5
Label: 3月12日,		Frequency: 5
Label: 邁阿密,		Frequency: 5
Label: 宾夕法尼亚大学,		Frequency: 5
Label: 富兰克林·D·罗斯福,		Frequency: 5
Label: 非裔,		Frequency: 5
Label: 第一次世界大戰,		Frequency: 5
Label: 斯洛伐克,		Frequency: 5
Label: 紐約皇后區,		Frequency: 5
Label: 俄羅斯,		Frequency: 5
Label: 华盛顿,		Frequency: 5
Label: 費爾菲爾德縣,		Frequency: 5
Label: 金鶯公園,		Frequency: 5
Label: 高中,		Frequency: 5
Label: 新加坡,		Frequency: 5
Label: 美国司法部长,		Frequency: 5
Label: 太平洋,		Frequency: 5
Label: 渥太华,		Frequency: 5
Label: 11月1日,		Frequency: 5
Label: 維吉尼亞,		Frequency: 5
Label: 印第安人,		Frequency: 5
Label: 1931年,		Frequency: 5
Label: 阿姆斯特丹,		Frequency: 5
Label: 威斯特徹斯特縣,		Frequency: 5
Label: 以色列,		Frequency: 5
Label: 阿拉巴马州,		Frequency: 5
Label: Weehawken, New Jersey,		Frequency: 5
Label: 1929年,		Frequency: 5
Label: 亚拉巴马州,		Frequency: 5
Label: 聖路易斯,		Frequency: 5
Label: 艾略特·斯皮策,		Frequency: 5
Label: 巴爾的摩金鶯,		Frequency: 5
Label: 蒙特婁,		Frequency: 5
Label: 1800年,		Frequency: 5
Label: 尼亞加拉瀑布,		Frequency: 5
Label: 長島海灣,		Frequency: 5
Label: 1916年,		Frequency: 5
Label: 阿靈頓,		Frequency: 5
Label: 伊利,		Frequency: 5
Label: 495号州际公路,		Frequency: 5
Label: 华盛顿哥伦比亚特区,		Frequency: 5
Label: 匹茲堡,		Frequency: 5
Label: 1918年,		Frequency: 5
Label: 第二次世界大战,		Frequency: 5
Label: 圖爾薩,		Frequency: 5
Label: Freedom Summer,		Frequency: 5
Label: 北京,		Frequency: 5
Label: 南北戰爭,		Frequency: 5
Label: 猶他州,		Frequency: 5
Label: 1984年,		Frequency: 5
Label: 1980年,		Frequency: 5
Label: 1969年,		Frequency: 5
Label: 1813年,		Frequency: 5
Label: 1966年,		Frequency: 5
Label: 20世纪,		Frequency: 5
Label: 总裁,		Frequency: 5
Label: 第五大道,		Frequency: 5
Label: 1970年,		Frequency: 5
Label: 海德帕克,		Frequency: 5
Label: Greensboro, North Carolina,		Frequency: 5
Label: 美,		Frequency: 5
Label: 人權活动家,		Frequency: 5
Label: 1848年,		Frequency: 5
Label: 1841年,		Frequency: 5
Label: O.co 競技場,		Frequency: 5
Label: 都會區,		Frequency: 5
Label: 教授,		Frequency: 5
Label: 1851年,		Frequency: 5
Label: Target Field,		Frequency: 5
Label: 模特儿,		Frequency: 5
Label: 阿靈頓棒球場,		Frequency: 5
Label: 1940年,		Frequency: 5
Label: 约翰·杰伊,		Frequency: 5
Label: 聖勞倫斯河,		Frequency: 5
Label: 1970年代,		Frequency: 5
Label: 总统,		Frequency: 5
Label: 旧金山,		Frequency: 5
Label: 辯護律師,		Frequency: 5
Label: 演员,		Frequency: 4
Label: 1872年,		Frequency: 4
Label: 伯靈頓,		Frequency: 4
Label: 1870年,		Frequency: 4
Label: 1875年,		Frequency: 4
Label: 1868年,		Frequency: 4
Label: 美国律师协会,		Frequency: 4
Label: 犹太,		Frequency: 4
Label: 1869年,		Frequency: 4
Label: 心理学家,		Frequency: 4
Label: 常春藤盟校,		Frequency: 4
Label: 美国参议院,		Frequency: 4
Label: 巴拉克·奧巴馬,		Frequency: 4
Label: 尼亚加拉瀑布,		Frequency: 4
Label: 政治家,		Frequency: 4
Label: 超人,		Frequency: 4
Label: 澳大利亞,		Frequency: 4
Label: 1864年,		Frequency: 4
Label: 1853年,		Frequency: 4
Label: 1856年,		Frequency: 4
Label: 第一次異象,		Frequency: 4
Label: 隧道,		Frequency: 4
Label: 英屬哥倫比亞,		Frequency: 4
Label: 1797年,		Frequency: 4
Label: 1798年,		Frequency: 4
Label: 橋樑,		Frequency: 4
Label: 愛阿華州,		Frequency: 4
Label: 1899年,		Frequency: 4
Label: 1895年,		Frequency: 4
Label: 2008年美國總統選舉,		Frequency: 4
Label: 韋恩縣,		Frequency: 4
Label: 南卡罗来那州,		Frequency: 4
Label: 衛理公會,		Frequency: 4
Label: 阿第倫達克山脈,		Frequency: 4
Label: 新奥尔良,		Frequency: 4
Label: 美國人口調查局,		Frequency: 4
Label: 安那罕天使球場,		Frequency: 4
Label: 奴隶,		Frequency: 4
Label: 经济学,		Frequency: 4
Label: 1789年,		Frequency: 4
Label: 英,		Frequency: 4
Label: 1990年,		Frequency: 4
Label: 3月26日,		Frequency: 4
Label: 1880年,		Frequency: 4
Label: 奧勒岡州,		Frequency: 4
Label: 1887年,		Frequency: 4
Label: 印地安那州,		Frequency: 4
Label: 法学院排名,		Frequency: 4
Label: Akron, Ohio,		Frequency: 4
Label: 1877年,		Frequency: 4
Label: 普林斯顿,		Frequency: 4
Label: 紐約港,		Frequency: 4
Label: 11月30日,		Frequency: 4
Label: 3月17日,		Frequency: 4
Label: 卡塔尔,		Frequency: 4
Label: 沃特敦,		Frequency: 4
Label: 橙縣,		Frequency: 4
Label: 1950年代,		Frequency: 4
Label: 长岛海湾,		Frequency: 4
Label: 休士頓,		Frequency: 4
Label: 罗彻斯特大学,		Frequency: 4
Label: 河流,		Frequency: 4
Label: 希拉里·克林頓,		Frequency: 4
Label: 美国陆军,		Frequency: 4
Label: 皇后区,		Frequency: 4
Label: 母親,		Frequency: 4
Label: 1754年,		Frequency: 4
Label: 亚利桑那州立大学,		Frequency: 4
Label: 10月31日,		Frequency: 4
Label: 紐約省,		Frequency: 4
Label: 聖羅倫斯河,		Frequency: 4
Label: 美國海軍,		Frequency: 4
Label: 11月26日,		Frequency: 4
Label: 哥倫比亞縣,		Frequency: 4
Label: 宾西法尼亚州,		Frequency: 4
Label: 聖保羅,		Frequency: 4
Label: 維珍尼亞州,		Frequency: 4
Label: 揚克斯,		Frequency: 4
Label: 1740年,		Frequency: 4
Label: 甲殼類,		Frequency: 4
Label: 考得里奧利佛,		Frequency: 4
Label: 哲学,		Frequency: 4
Label: 18世纪,		Frequency: 4
Label: I-495,		Frequency: 4
Label: 劍橋,		Frequency: 4
Label: 美国众议院,		Frequency: 4
Label: 紐約大學,		Frequency: 4
Label: 商人,		Frequency: 4
Label: 懷俄明州,		Frequency: 4
Label: 11月3日,		Frequency: 4
Label: 曼尼托巴,		Frequency: 4
Label: 三區大橋,		Frequency: 4
Label: 上州,		Frequency: 4
Label: 19世纪,		Frequency: 4
Label: 歌劇,		Frequency: 4
Label: 詹姆斯·麦迪逊,		Frequency: 4
Label: 長島市,		Frequency: 4
Label: 阿巴拉契亞山脈,		Frequency: 4
Label: 耶穌基督,		Frequency: 4
Label: .40 S&W,		Frequency: 4
Label: Newark, New Jersey,		Frequency: 4
Label: 加利福尼亚,		Frequency: 4
Label: 马丁·路德·金,		Frequency: 4
Label: 弗吉尼亞州,		Frequency: 4
Label: 鲍勃·迪伦,		Frequency: 4
Label: 1925年,		Frequency: 4
Label: 罗马,		Frequency: 4
Label: 广州,		Frequency: 4
Label: 叔父,		Frequency: 4
Label: 匹茲弗,		Frequency: 4
Label: 法拉盛,		Frequency: 4
Label: 紐約洋基,		Frequency: 4
Label: 波士頓-華盛頓城市帶,		Frequency: 4
Label: 大急流城,		Frequency: 4
Label: 斯蒂芬斯传媒集团,		Frequency: 4
Label: 籃球,		Frequency: 4
Label: 坦帕灣,		Frequency: 4
Label: 二战,		Frequency: 4
Label: 1912年,		Frequency: 4
Label: 1806年,		Frequency: 4
Label: 電影,		Frequency: 4
Label: 1803年,		Frequency: 4
Label: 赫伯特·胡佛,		Frequency: 4
Label: 聖職,		Frequency: 4
Label: 温哥华,		Frequency: 4
Label: 紐約州收費公路,		Frequency: 4
Label: 基督教,		Frequency: 4
Label: 肺癌,		Frequency: 4
Label: 哥伦布,		Frequency: 4
Label: 夏威夷,		Frequency: 4
Label: 德州遊騎兵,		Frequency: 4
Label: 倫敦,		Frequency: 4
Label: 哥倫比亞特區,		Frequency: 4
Label: 数学,		Frequency: 4
Label: 1974年,		Frequency: 4
Label: 1829年,		Frequency: 4
Label: 1976年,		Frequency: 4
Label: 1977年,		Frequency: 4
Label: 艾奧瓦州,		Frequency: 4
Label: 1821年,		Frequency: 4
Label: 奧斯汀,		Frequency: 4
Label: 北达科他州,		Frequency: 4
Label: 美國民主黨,		Frequency: 4
Label: 奥地利,		Frequency: 4
Label: 1983年,		Frequency: 4
Label: 奧奈達縣,		Frequency: 4
Label: 1985年,		Frequency: 4
Label: 杭州,		Frequency: 4
Label: 韩国,		Frequency: 4
Label: 拉瓜地亞機場,		Frequency: 4
Label: 1695年,		Frequency: 4
Label: 底特律老虎,		Frequency: 4
Label: 北愛爾蘭,		Frequency: 4
Label: 1816年,		Frequency: 4
Label: 哥伦比亚县,		Frequency: 4
Label: 911事件,		Frequency: 4
Label: 喬治·華盛頓,		Frequency: 4
Label: 波蘭,		Frequency: 4
Label: NCAA,		Frequency: 4
Label: 1812年,		Frequency: 4
Label: 纽约大学,		Frequency: 4
Label: 北卡罗莱那州,		Frequency: 4
Label: 秘鲁,		Frequency: 4
Label: 1972年,		Frequency: 4
Label: 紐約時報,		Frequency: 4
Label: 1971年,		Frequency: 4
Label: 康涅狄格,		Frequency: 4
Label: 物理学,		Frequency: 4
Label: 望遠鏡,		Frequency: 4
Label: 1846年,		Frequency: 4
Label: 魚類,		Frequency: 4
Label: 1847年,		Frequency: 4
Label: 導演,		Frequency: 4
Label: 世界貿易中心,		Frequency: 4
Label: 馬薩諸塞州,		Frequency: 4
Label: 民事結合,		Frequency: 4
Label: 阿拉斯加,		Frequency: 4
Label: 嫖妓,		Frequency: 4
Label: 联邦参议员,		Frequency: 4
Label: 波特蘭,		Frequency: 4
Label: 美國聯盟,		Frequency: 4
Label: 联合国,		Frequency: 4
Label: 导演,		Frequency: 4
Label: 尼亞加拉縣,		Frequency: 4
Label: 1837年,		Frequency: 4
Label: 馬里蘭,		Frequency: 4
Label: 1947年,		Frequency: 4
Label: 曼尼托巴省,		Frequency: 4
Label: 安那罕,		Frequency: 4
Label: 魁北克市,		Frequency: 4
Label: 華盛頓哥倫比亞特區,		Frequency: 3
Label: 維也納,		Frequency: 3
Label: 学位,		Frequency: 3
Label: 沃顿商学院,		Frequency: 3
Label: 1871年,		Frequency: 3
Label: 普林斯頓大學,		Frequency: 3
