============== Resource: 迈克尔·乔丹 ==============
Label: 波士顿凯尔特人,		Frequency: 165
Label: 詹姆斯·沃西,		Frequency: 6
Label: 印第安那步行者,		Frequency: 6
Label: 费城76人队,		Frequency: 6
Label: 斯蒂芬·杰克逊,		Frequency: 6
Label: 乔丹,		Frequency: 6
Label: 堪萨斯城国王,		Frequency: 6
Label: 多米尼克·威尔金斯,		Frequency: 6
Label: 布法罗勇士,		Frequency: 6
Label: 奥兰多魔术队,		Frequency: 6
Label: 奥斯卡·罗伯逊,		Frequency: 6
Label: 明尼苏达森林狼队,		Frequency: 6
Label: 圣路易斯轰炸机,		Frequency: 6
Label: 高比·拜仁,		Frequency: 5
Label: 安托万·贾米森,		Frequency: 5
Label: 菲尼克斯太阳队,		Frequency: 5
Label: 迪肯贝·穆托姆博,		Frequency: 5
Label: 史蒂夫·纳什,		Frequency: 5
Label: 汤姆·钱伯斯,		Frequency: 5
Label: 雷吉·米勒,		Frequency: 5
Label: 2008年,		Frequency: 5
Label: 夏洛特黄蜂,		Frequency: 5
Label: 奧蘭多魔術隊,		Frequency: 5
Label: 1993年,		Frequency: 5
Label: 波特蘭拓荒者,		Frequency: 5
Label: 1995年,		Frequency: 5
Label: 1996年,		Frequency: 5
Label: NBA季後賽,		Frequency: 5
Label: NBA总决赛最有价值球员,		Frequency: 5
Label: 休士頓火箭隊,		Frequency: 5
Label: 籃球,		Frequency: 5
Label: 帕特·莱利,		Frequency: 4
Label: 曼斐斯灰熊,		Frequency: 4
Label: 小前鋒,		Frequency: 4
Label: 朱利叶斯·欧文,		Frequency: 4
Label: 亞特蘭大老鷹,		Frequency: 4
Label: 波特蘭拓荒者隊,		Frequency: 4
Label: 凯文·麦克海尔,		Frequency: 4
Label: 猶他爵士,		Frequency: 4
Label: 紐奧良黃蜂,		Frequency: 4
Label: 贾森·基德,		Frequency: 4
Label: 底特律猎鹰,		Frequency: 4
Label: 雷·阿伦,		Frequency: 4
Label: 飞人乔丹,		Frequency: 4
Label: 洛杉磯快艇,		Frequency: 4
Label: 堪萨斯城-奥马哈国王,		Frequency: 4
Label: 布雷克·葛里芬,		Frequency: 4
Label: 菲尔·福特,		Frequency: 4
Label: 保罗·加索尔,		Frequency: 4
Label: 格伦·莱斯,		Frequency: 4
Label: 約翰·斯托克頓,		Frequency: 4
Label: 拉里·约翰逊,		Frequency: 4
Label: 德特夫·史伦夫,		Frequency: 4
Label: 5月20日,		Frequency: 4
Label: 拉尔夫·辛普森,		Frequency: 4
Label: 1994年,		Frequency: 4
Label: 1963年,		Frequency: 4
Label: 姚明,		Frequency: 4
Label: 乔治·格温,		Frequency: 4
Label: 沃尔特·张伯伦,		Frequency: 4
Label: 卡梅洛·安东尼,		Frequency: 4
Label: 本斯·麦克金尼,		Frequency: 4
Label: 邁阿密熱火,		Frequency: 4
Label: 埃尔金·贝勒,		Frequency: 4
Label: 杰拉德·华莱士,		Frequency: 4
Label: 达拉斯小牛队,		Frequency: 4
Label: 1986年,		Frequency: 4
Label: 日本,		Frequency: 4
Label: 肖恩·坎普,		Frequency: 4
Label: 普罗维登斯蒸汽压路机,		Frequency: 4
Label: 鲍勃·库锡,		Frequency: 3
Label: 安芬尼·哈达威,		Frequency: 3
Label: 比尔·沙尔曼,		Frequency: 3
Label: 密尔沃基雄鹿队,		Frequency: 3
Label: 德韦恩·韦德,		Frequency: 3
Label: 西德尼·蒙克里夫,		Frequency: 3
Label: 安东尼·梅森,		Frequency: 3
Label: 聖安東尼奧馬刺隊,		Frequency: 3
Label: 香港,		Frequency: 3
Label: 時代雜誌,		Frequency: 3
Label: 韦斯·昂塞尔德,		Frequency: 3
Label: 印第安那溜馬,		Frequency: 3
Label: 罗尔·邓,		Frequency: 3
Label: 沙基爾·奧尼爾,		Frequency: 3
Label: 比尔·沃尔顿,		Frequency: 3
Label: 唐·莫,		Frequency: 3
Label: 2002年,		Frequency: 3
Label: 克里夫蘭騎士,		Frequency: 3
Label: 迈阿密热火队,		Frequency: 3
Label: 奥拉朱旺,		Frequency: 3
Label: 马克·普莱斯,		Frequency: 3
Label: 湖人,		Frequency: 3
Label: 特里·卡明斯,		Frequency: 3
Label: 菲爾·傑克森,		Frequency: 3
Label: 運動畫刊,		Frequency: 3
Label: 1995-96 NBA賽季,		Frequency: 3
Label: 弗吉尼亚大学,		Frequency: 3
Label: 托尼·帕克,		Frequency: 3
Label: 2007年,		Frequency: 3
Label: 乔·杜马斯,		Frequency: 3
Label: 米奇·里奇蒙德,		Frequency: 3
Label: 埃米卡·奥卡福,		Frequency: 3
Label: 波特兰开拓者队,		Frequency: 3
Label: 傑森·基德,		Frequency: 3
Label: NBA选秀,		Frequency: 3
Label: 總決賽,		Frequency: 3
Label: 樂一通,		Frequency: 3
Label: 凱文·杜蘭特,		Frequency: 3
Label: 夢幻隊,		Frequency: 3
Label: 篮球名人堂,		Frequency: 3
Label: 德里克·科尔曼,		Frequency: 3
Label: 鲍勃·戴维斯,		Frequency: 3
Label: 沃尔特·弗雷泽,		Frequency: 3
Label: 金州勇士队,		Frequency: 3
Label: 布拉德·多赫蒂,		Frequency: 3
Label: 魔術強森,		Frequency: 3
Label: 马努·吉诺比利,		Frequency: 3
Label: 邁阿密熱火隊,		Frequency: 3
Label: 1992年,		Frequency: 3
Label: 米高佐敦,		Frequency: 3
Label: 1966年,		Frequency: 3
Label: 阿伦·艾弗森,		Frequency: 3
Label: 沙奎爾·奧尼爾,		Frequency: 3
Label: 費城76人隊,		Frequency: 3
Label: 西雅图超音速队,		Frequency: 3
Label: 杰梅因·奥尼尔,		Frequency: 3
Label: 拉里·布朗,		Frequency: 3
Label: 1997年,		Frequency: 3
Label: 戴夫·考恩斯,		Frequency: 3
Label: 罗伊·威廉斯,		Frequency: 3
Label: 肯尼·史密斯,		Frequency: 3
Label: 萨姆·琼斯,		Frequency: 3
Label: 丹尼斯·強森,		Frequency: 3
Label: 费城,		Frequency: 3
Label: 犹他爵士队,		Frequency: 3
Label: 丹尼斯·羅德曼,		Frequency: 3
Label: ESPN,		Frequency: 3
Label: 哈尔·格瑞尔,		Frequency: 3
Label: 小前锋,		Frequency: 3
Label: 夏洛特山貓隊,		Frequency: 3
Label: 得分后卫,		Frequency: 3
Label: 罗纳尔多,		Frequency: 3
Label: 季後賽,		Frequency: 3
Label: NBA灌篮大赛,		Frequency: 3
Label: 杰里·斯塔克豪斯,		Frequency: 3
Label: 唐·尼尔森,		Frequency: 3
Label: 底特律活塞队,		Frequency: 3
Label: 霍华德,		Frequency: 3
Label: 约瑟夫·福特,		Frequency: 3
Label: 维克特·卡亚帕,		Frequency: 3
Label: 埃迪·琼斯,		Frequency: 3
Label: 杜克大学,		Frequency: 3
Label: 麥可喬丹,		Frequency: 3
Label: 奥兰多魔术隊,		Frequency: 3
Label: 丹尼·曼宁,		Frequency: 3
Label: 1988年,		Frequency: 3
Label: 夏洛特山猫隊,		Frequency: 3
Label: 凯文·威利斯,		Frequency: 3
Label: 約翰·史托頓,		Frequency: 3
Label: 威利斯·里德,		Frequency: 3
Label: 澳洲,		Frequency: 3
Label: 紐澤西籃網,		Frequency: 3
Label: 威尔特·张伯伦,		Frequency: 3
Label: 肖恩·梅,		Frequency: 3
Label: 克里夫兰反叛者,		Frequency: 2
Label: 中锋,		Frequency: 2
Label: 布蘭登·羅伊,		Frequency: 2
Label: 湖人队,		Frequency: 2
Label: 凯文·约翰逊,		Frequency: 2
Label: 凯蒂·普莱斯,		Frequency: 2
Label: Lew Alcindor,		Frequency: 2
Label: 黑肯·奥拉朱旺,		Frequency: 2
Label: 大前鋒,		Frequency: 2
Label: 詹姆士·哈登,		Frequency: 2
Label: 山姆·柏金斯,		Frequency: 2
Label: 奇克·哈尔博特,		Frequency: 2
Label: 巴里·霍威尔,		Frequency: 2
Label: 德克·诺维茨基,		Frequency: 2
Label: 比利·坎宁安,		Frequency: 2
Label: 卡尔·布劳恩,		Frequency: 2
Label: 埃德·萨多夫斯基,		Frequency: 2
Label: 沃爾特·戴維斯,		Frequency: 2
Label: 萨姆·珀金斯,		Frequency: 2
Label: 馬來西亞,		Frequency: 2
Label: 保罗·西摩,		Frequency: 2
Label: 明尼蘇達森林狼,		Frequency: 2
Label: 波士頓塞爾特人隊,		Frequency: 2
Label: 菲爾·福特,		Frequency: 2
Label: 莫里斯·卢卡斯,		Frequency: 2
Label: 威利·帕克,		Frequency: 2
Label: 容·阿泰斯特,		Frequency: 2
Label: 1956年,		Frequency: 2
Label: 傑夫·麦金尼斯,		Frequency: 2
Label: 夏洛特山貓競技場,		Frequency: 2
Label: 吉恩·许,		Frequency: 2
Label: 戴維斯·愛 III,		Frequency: 2
Label: 卡梅隆·安东尼,		Frequency: 2
Label: 猶利·佩珀斯,		Frequency: 2
Label: 公牛王朝,		Frequency: 2
Label: 加拿大,		Frequency: 2
Label: 拉特雷尔·斯普雷维尔,		Frequency: 2
Label: 弗恩·米基尔森,		Frequency: 2
Label: 安德魯·博古特,		Frequency: 2
Label: 喬丹,		Frequency: 2
Label: 卡洛斯·布泽尔,		Frequency: 2
Label: NBA最有價值球員,		Frequency: 2
Label: 乔治·麦金尼斯,		Frequency: 2
Label: 康尼·霍金斯,		Frequency: 2
Label: 侯斯頓火箭,		Frequency: 2
Label: 克里夫蘭騎士隊,		Frequency: 2
Label: 乔治·亚德里,		Frequency: 2
Label: 迈克尔·舒马赫,		Frequency: 2
Label: 多尔夫·谢伊斯,		Frequency: 2
Label: 傑里·斯隆,		Frequency: 2
Label: 馬里恩·瓊斯,		Frequency: 2
Label: 安迪·菲利普,		Frequency: 2
Label: 克里夫兰骑士,		Frequency: 2
Label: 拉尔夫·桑普森,		Frequency: 2
Label: 2001年,		Frequency: 2
Label: 李宁,		Frequency: 2
Label: 德隆·威廉姆斯,		Frequency: 2
Label: 一級方程式,		Frequency: 2
Label: 密爾瓦基公鹿,		Frequency: 2
Label: The NBA on NBC,		Frequency: 2
Label: 纽奧良,		Frequency: 2
Label: 贾玛尔·马什本,		Frequency: 2
Label: 张伯伦,		Frequency: 2
Label: 波特蘭拓荒者队,		Frequency: 2
Label: 奈特·阿奇博尔德,		Frequency: 2
Label: 大卫·斯特恩,		Frequency: 2
Label: 公牛队,		Frequency: 2
Label: 爱德·麦考利,		Frequency: 2
Label: 匡威,		Frequency: 2
Label: 拉里·伯得,		Frequency: 2
Label: 拉希德·華萊士,		Frequency: 2
Label: 南非,		Frequency: 2
Label: 杰克·特威曼,		Frequency: 2
Label: 夏洛特體育館,		Frequency: 2
Label: 盖尔·古德里奇,		Frequency: 2
Label: 埃爾·霍弗德,		Frequency: 2
Label: 安芬尼·哈达维,		Frequency: 2
Label: Lennie Rosenbluth,		Frequency: 2
Label: 安德魯·拜南,		Frequency: 2
Label: Buck Williams,		Frequency: 2
Label: 莫里斯·斯托克斯,		Frequency: 2
Label: 拉瑪庫斯·阿爾德里奇,		Frequency: 2
Label: 巴特爾,		Frequency: 2
Label: 科比·布萊恩,		Frequency: 2
Label: 伊赛亚·托马斯,		Frequency: 2
Label: 密尔沃基老鹰,		Frequency: 2
Label: 7月3日,		Frequency: 2
Label: 里克·福克斯,		Frequency: 2
Label: 马尔文·威廉姆斯,		Frequency: 2
Label: NBA总决赛,		Frequency: 2
Label: 肯·塞勒斯,		Frequency: 2
Label: 保罗·韦斯特法尔,		Frequency: 2
Label: 2010-11年球季,		Frequency: 2
Label: 拉塞爾·維斯布魯克,		Frequency: 2
Label: 罗伯特·帕里什,		Frequency: 2
Label: 德韋恩·韋德,		Frequency: 2
Label: 蒂姆·哈达维,		Frequency: 2
Label: 拉希德·麦肯茨,		Frequency: 2
Label: 克里斯·波什,		Frequency: 2
Label: 2006年,		Frequency: 2
Label: 艾尔尼·瑞森,		Frequency: 2
Label: 威爾特·張伯倫,		Frequency: 2
Label: 德隆·威廉士,		Frequency: 2
Label: 圣迭戈快船,		Frequency: 2
Label: 朱万·霍华德,		Frequency: 2
Label: 克里斯·保罗,		Frequency: 2
Label: Dre Bly,		Frequency: 2
Label: Jo·Jo·懷特,		Frequency: 2
Label: 王治郅,		Frequency: 2
Label: 休斯顿火箭队,		Frequency: 2
Label: 弗雷德·斯科拉里,		Frequency: 2
Label: 劳埃德·富力,		Frequency: 2
Label: 鲍勃·费里克,		Frequency: 2
Label: The NBA on ABC,		Frequency: 2
Label: 1982年,		Frequency: 2
Label: 米亚·哈姆,		Frequency: 2
Label: 本·华莱士,		Frequency: 2
Label: 費城七六人隊,		Frequency: 2
Label: 弗兰克·包霍兹,		Frequency: 2
Label: 卢·哈德森,		Frequency: 2
Label: 德克·诺维斯基,		Frequency: 2
Label: 泰國,		Frequency: 2
Label: 奧克拉荷馬市,		Frequency: 2
Label: 德里克·羅斯,		Frequency: 2
Label: 巴迪·吉纳特,		Frequency: 2
Label: 吉姆·帕克森,		Frequency: 2
Label: 伯纳德·金,		Frequency: 2
Label: 越南,		Frequency: 2
Label: 梦之队,		Frequency: 2
Label: 施丹,		Frequency: 2
Label: 易建聯,		Frequency: 2
Label: 鮑伯·麦卡杜,		Frequency: 2
Label: 佐治亚理工学院,		Frequency: 2
Label: 埃尔文·海耶斯,		Frequency: 2
Label: 斯坦·麦塞克,		Frequency: 2
Label: 巴郎·戴维斯,		Frequency: 2
Label: 2011-12 NBA賽季,		Frequency: 2
Label: 阿奇·克拉克,		Frequency: 2
Label: 卡梅倫·哈利斯,		Frequency: 2
Label: 约翰尼·罗甘,		Frequency: 2
Label: 鲍勃·麦卡度,		Frequency: 2
Label: NBA總決賽MVP,		Frequency: 2
Label: 阿莱克斯·格罗萨,		Frequency: 2
Label: 佐治亚,		Frequency: 2
Label: 休伯特·戴維斯,		Frequency: 2
Label: Tra Water,		Frequency: 2
Label: 罗伊·威廉姆斯,		Frequency: 2
Label: 迈克尔·杰弗里·乔丹,		Frequency: 2
Label: 乔丹·卡佛,		Frequency: 2
Label: 夏洛特黄蜂隊,		Frequency: 2
Label: 1991年,		Frequency: 2
Label: 菲尔·史密斯,		Frequency: 2
Label: 迪克·麦克奎尔,		Frequency: 2
Label: 唐·钱尼,		Frequency: 2
Label: 阿德里安·丹特利,		Frequency: 2
Label: 安德森包装工,		Frequency: 2
Label: 德里克·罗斯,		Frequency: 2
Label: 拉里·科斯特诺,		Frequency: 2
Label: 約瑟·福特,		Frequency: 2
Label: 艾尔·科维,		Frequency: 2
Label: 拉簡·朗多,		Frequency: 2
Label: 皇家馬德里,		Frequency: 2
Label: 维恩·贝克,		Frequency: 2
Label: 1996-97賽季,		Frequency: 2
Label: 維多利亞州,		Frequency: 2
Label: 大卫·汤普森,		Frequency: 2
Label: 安芬尼·哈德威,		Frequency: 2
Label: 肖恩·马里昂,		Frequency: 2
Label: 新青聯,		Frequency: 2
Label: 安德魯·米勒,		Frequency: 2
Label: 昌西·比卢普斯,		Frequency: 2
Label: 戴夫·宾,		Frequency: 2
Label: now寬頻電視,		Frequency: 2
Label: 厄尼·卡尔弗利,		Frequency: 2
Label: 乔·福尔克斯,		Frequency: 2
Label: 卡隆·巴特勒,		Frequency: 2
Label: 球衣退役,		Frequency: 2
Label: 安东尼奥·麦克戴斯,		Frequency: 2
Label: 三城黑鹰队,		Frequency: 2
Label: 联合航空,		Frequency: 2
Label: 马奎斯·约翰逊,		Frequency: 2
Label: 加斯·威廉姆斯,		Frequency: 2
Label: 2012-13 NBA賽季,		Frequency: 2
Label: NBA最佳新秀,		Frequency: 2
Label: 兔寶寶,		Frequency: 2
Label: 凯文·达克沃斯,		Frequency: 2
Label: NBA明星賽,		Frequency: 2
Label: 布兰登·罗伊,		Frequency: 2
Label: NFL,		Frequency: 2
Label: 达勒姆,		Frequency: 2
Label: NBA最佳第六人,		Frequency: 2
Label: 費城76人队,		Frequency: 2
Label: 波士頓塞爾提克,		Frequency: 2
Label: 鲍勃·勒夫,		Frequency: 2
Label: 保罗·阿里金,		Frequency: 2
Label: 拉菲特·雷沃,		Frequency: 2
Label: 迪恩·史密斯,		Frequency: 2
Label: 汤姆·古拉,		Frequency: 2
Label: 比利·古尼罕,		Frequency: 2
Label: 斯雷特·马丁,		Frequency: 2
Label: NHL,		Frequency: 2
Label: 约翰·哈夫利切克,		Frequency: 2
Label: 馬特·道赫蒂,		Frequency: 2
Label: 克里斯·韦伯,		Frequency: 2
Label: 乔治·麦肯,		Frequency: 2
Label: 里克·巴里,		Frequency: 2
Label: 鳳凰城太陽隊,		Frequency: 2
Label: 奥蒂斯·博德松,		Frequency: 2
Label: 泰森·錢德勒,		Frequency: 2
Label: 卡羅來納黑豹,		Frequency: 2
Label: 迈克尔·里德,		Frequency: 2
Label: 艾迪·波普,		Frequency: 2
Label: NCAA,		Frequency: 2
Label: 两双,		Frequency: 2
Label: 汤姆·海因索恩,		Frequency: 2
Label: 亚特兰大鹰队,		Frequency: 2
Label: 菲尔·钱尼尔,		Frequency: 2
Label: 圣路易斯老鹰队,		Frequency: 2
Label: 丹·郎德菲尔德,		Frequency: 2
Label: 阿马雷·斯塔德迈尔,		Frequency: 2
Label: 2010年,		Frequency: 2
Label: 博比·丹德里奇,		Frequency: 2
Label: 里奇·古林,		Frequency: 2
Label: 大衛·羅賓森,		Frequency: 2
Label: 杰里·卢卡斯,		Frequency: 2
Label: 哈利·加拉汀,		Frequency: 2
Label: 阿莱克斯·英格利什,		Frequency: 2
Label: 哈基姆·歐拉朱萬,		Frequency: 2
Label: 诺姆·范里尔,		Frequency: 2
Label: 丹尼爾·巴德,		Frequency: 2
Label: 傑夫·里德,		Frequency: 2
Label: 霍里斯·格兰特,		Frequency: 2
Label: 阿尔文·罗伯逊,		Frequency: 2
Label: 豪伊·达尔马尔,		Frequency: 2
Label: 吉尔伯特·阿里纳斯,		Frequency: 2
Label: 托尼·库科奇,		Frequency: 2
Label: 斯宾塞·海伍德,		Frequency: 2
Label: 盖斯·约翰逊,		Frequency: 2
Label: 戴夫·德布斯切尔,		Frequency: 2
Label: 厄尔·门罗,		Frequency: 2
Label: 籃板球,		Frequency: 2
Label: 罗伊·达普利,		Frequency: 2
Label: 拉里·福斯特,		Frequency: 2
Label: 亚特兰大,		Frequency: 2
Label: 戴尔·埃利斯,		Frequency: 2
Label: 台灣,		Frequency: 2
Label: 西雅圖超音速,		Frequency: 2
Label: Sears指導者杯,		Frequency: 2
Label: 馬克·加索,		Frequency: 2
Label: 埃尔顿·布兰德,		Frequency: 2
Label: Capital Bullets,		Frequency: 2
Label: 佐治亚州,		Frequency: 2
Label: 底特律活塞隊,		Frequency: 2
Label: 密爾沃基公鹿,		Frequency: 2
Label: 格雷格·奧斯特塔格,		Frequency: 2
Label: 克里夫·海根,		Frequency: 2
Label: 拉尔夫·比尔德,		Frequency: 2
Label: 克莱德·罗维拉坦,		Frequency: 2
Label: 凱恩·勒夫,		Frequency: 2
Label: 美國籃球協會,		Frequency: 2
Label: 克里斯·波許,		Frequency: 2
Label: 奈史密斯籃球名人紀念堂,		Frequency: 2
Label: 山姆·帕金斯,		Frequency: 2
Label: 雷蒙德·費爾頓,		Frequency: 2
Label: 克罗地亚,		Frequency: 2
Label: 喬·強森,		Frequency: 2
Label: 華盛頓子彈隊,		Frequency: 2
Label: 猶他爵士隊,		Frequency: 2
Label: 勞倫斯·泰勒,		Frequency: 2
Label: 弗兰克·布莱恩,		Frequency: 2
Label: 保罗·皮尔斯,		Frequency: 2
Label: 迪克·贾马克,		Frequency: 2
Label: 博比·温泽尔,		Frequency: 2
Label: 罗德·斯克里克兰,		Frequency: 2
Label: 总冠军,		Frequency: 2
Label: 阿朗佐·莫宁,		Frequency: 2
Label: 萨姆·卡塞尔,		Frequency: 2
Label: 马克·杰克逊,		Frequency: 2
Label: 喬治·林奇,		Frequency: 2
Label: 杰克·乔治,		Frequency: 2
Label: 紐約尼克隊,		Frequency: 2
Label: 俠客·歐尼爾,		Frequency: 2
Label: 特拉克·罗伯逊,		Frequency: 2
Label: 尼尔·约翰斯顿,		Frequency: 2
Label: 克里斯汀·莉莉,		Frequency: 2
Label: 德拉任·彼得罗维奇,		Frequency: 2
Label: 1972年,		Frequency: 2
Label: 弗雷德·薛斯,		Frequency: 2
Label: 1989年,		Frequency: 2
Label: 丹佛金塊,		Frequency: 2
Label: 德懷恩·韋德,		Frequency: 2
Label: 国际篮球联合会,		Frequency: 2
Label: 沃尔特·戴维斯,		Frequency: 2
Label: 多倫多速龍,		Frequency: 2
Label: 達拉斯小牛隊,		Frequency: 2
Label: 1970年,		Frequency: 2
Label: 佩贾·斯托亚科维奇,		Frequency: 2
Label: 吉姆·波拉德,		Frequency: 2
Label: 布伦登·海伍德,		Frequency: 2
Label: 皮特·马拉维奇,		Frequency: 2
Label: 兰迪·史密斯,		Frequency: 2
Label: 帕特·萊利,		Frequency: 2
Label: 邁阿密熱火队,		Frequency: 2
Label: 德国,		Frequency: 2
Label: 斯蒂芬·马布里,		Frequency: 2
Label: 蒂姆·哈德威,		Frequency: 2
Label: 伯利斯·迪奥,		Frequency: 2
Label: 马克斯·扎斯洛夫斯基,		Frequency: 2
Label: 埃爾文·約翰遜,		Frequency: 2
Label: 扎克·蘭多夫,		Frequency: 2
Label: 国家篮球协会,		Frequency: 2
Label: 拜仁·羅素,		Frequency: 2
Label: 耐吉,		Frequency: 2
Label: 韓國棒球代表隊,		Frequency: 1
Label: 義大犀牛,		Frequency: 1
Label: 比爾·沙爾曼,		Frequency: 1
Label: 莫里斯·波杜夫,		Frequency: 1
Label: 比利·喬·阿姆斯壯,		Frequency: 1
Label: 香港電台,		Frequency: 1
Label: 湯姆·海因索恩 ,		Frequency: 1
Label: 独联体队,		Frequency: 1
Label: 2月27日,		Frequency: 1
Label: 中国大陆,		Frequency: 1
Label: 热火,		Frequency: 1
Label: 讓-皮埃爾·帕潘,		Frequency: 1
Label: 奧尼爾,		Frequency: 1
Label: 德克萨斯州,		Frequency: 1
Label: 陳江和,		Frequency: 1
Label: 洪志善,		Frequency: 1
Label: 关颖珊,		Frequency: 1
Label: 比利·卡宁汉姆,		Frequency: 1
Label: Cynthia Cooper,		Frequency: 1
Label: 舞台藝術,		Frequency: 1
Label: 灌籃高手,		Frequency: 1
Label: 芝加哥,		Frequency: 1
Label: 稻本潤一,		Frequency: 1
Label: 1952年,		Frequency: 1
Label: 曼菲斯灰熊,		Frequency: 1
Label: 薩克拉門托國王,		Frequency: 1
Label: 鹽湖城,		Frequency: 1
Label: 科顿·菲茨西蒙斯,		Frequency: 1
Label: 格蘭特·希爾,		Frequency: 1
Label: 克里斯·韋伯,		Frequency: 1
Label: 林義傑,		Frequency: 1
Label: 霍華德·休斯,		Frequency: 1
Label: 活塞,		Frequency: 1
